id,sex,inr_avg,ing_avg,inb_avg,incolor,totalthroat,innnerthroat,outerthroat,inratio,outratio,totalratio,morph,outr_avg,outg_avg,outb_avg,outcolor,notes,site,sitetype,sex2,date,bltime,svl,mass,morph2,stage,clutch,f1,f2,f3,f4,f5,f6,f7,f8,l,w,trayid,mass.n,mass.c,C.N,ape.n,ape.c,d15N,d13C,paintid,blvol,oxy,droms,blbka,notes,maxrepro,totalcolor,incolorindex,outcolorindex,blotch.area,repro,avgrepro,blcort
(1/2)225,m,NA,NA,NA,NA,94.89,0,22.05,0,0.232374328,0.232374328,oo,214,167,129,1.281437126,check again,Browse,rural,m,5/4/16,12:09,54,4.9,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.4,,NA,NA,NA,NA,NA,NA,NA,24,38,344.3215339,26.70012892,29.58257713,missing 2000 toe; could be a rapture if 1005 or 2005,NA,NA,NA,0.297773091,1.0048,NA,NA,18.734
(1/2)225,m,NA,NA,NA,NA,94.89,0,22.05,0,0.232374328,0.232374328,oo,214,167,129,1.281437126,check again,Browse,rural,m,5/4/16,12:09,54,4.9,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.4,,NA,NA,NA,NA,NA,NA,NA,24,38,344.3215339,26.70012892,29.58257713,missing 2000 toe; could be a rapture if 1005 or 2005,NA,NA,NA,0.297773091,1.0048,NA,NA,14.913
(1/4/5)120,m,151,152,142,0.934210526,98.31,5.14,15.56,0.052283593,0.158274845,0.210558438,ob,208,167,124,1.245508982,,Bluff,urban,m,5/1/16,11:58,50,4,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,,NA,NA,NA,NA,NA,NA,NA,2,41,351.5486726,5.753674259,61.88747731,regrown tail; 4/5000 natural toe loss; 1120,NA,0.245976624,0.048843883,0.197132741,0.471,NA,NA,NA
(2/3)114,m,155,164,160,0.975609756,111.39,70.26,7.82,0.6307568,0.070203788,0.700960589,ob,214,181,148,1.182320442,,Browse,rural,m,5/2/16,11:01,52,4.8,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.4,,NA,NA,NA,NA,NA,NA,NA,7,36,353.6135693,16.22690159,24.13793103,regrown tail tip; recapture,NA,0.698375861,0.615372488,0.083003374,1.0048,NA,NA,8.023
(4/5)201,m,132,162,191,1.179012346,114.8,60.9,2.28,0.530487805,0.019860627,0.550348432,ob,204,196,192,1.040816327,,BigHollow,rural,m,5/9/16,12:13,54,4.2,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,H5,71.88654923,277.2694268,3.857041822,0.367138123,1.086346317,2.28745223,-22.13528296,13,38,285.4719764,13.85062312,11.99278629,missing tail,NA,0.646122936,0.625451671,0.020671265,0.7536,NA,NA,30.166
(4/5)230,m,126,140,124,0.885714286,81.65,25.82,24.03,0.316227802,0.29430496,0.610532762,yb,194,195,160,0.994871795,,Manowar,urban,m,5/10/16,10:17,47,4,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,H10,NA,NA,NA,NA,NA,NA,NA,40,42,339.159292,5.709669102,27.86293959,natural toe loss on 4000; 5000; scar on middle of back; isotope data lost due to software freeze,NA,0.572883186,0.280087482,0.292795704,0.3768,NA,NA,11.551
1(1/5)32,f,0,0,0,NA,80.62,0,24.06,0,0.298437112,0.298437112,oo,203,166,137,1.222891566,,Browse,rural,f,5/2/16,9:55,49,3.9,orange,late,5,0.42,0.48,0.5,0.51,0.56,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,29,344.3215339,47.51456811,34.66424682,bite marks; regrown tail; possibly healed broken back; 500 natural toe loss,0.48,NA,NA,0.364956227,NA,2.47,0.494,36.776
1(2/3/4)00,f,0,0,0,NA,72.42,0,19.09,0,0.263601215,0.263601215,oo,228,212,188,1.075471698,oy?,Manowar,urban,f,5/5/16,12:08,46,3,orange,late,4,0.79,0.79,0.8,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,38,336.0619469,5.665663945,38.55799373,natural loss of toess 200; 300; 400; 30 toe is malformed ew; 1300,0.79,NA,NA,0.283495646,NA,3.25,0.8125,32.455
1045,m,221,230,219,0.952173913,126.32,2.99,29.29,0.023670044,0.231871438,0.255541482,yb,233,209,202,1.114832536,,Manowar,urban,m,5/5/16,12:55,55,4.7,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.4,C3,35.27637063,115.1863979,3.265256483,0.371658213,1.087021087,14.6732479,-21.47554367,15,68,345.3539823,16.9309841,28.84012539,bite marks; natural loss on 40 toe; tail completely regrown ,NA,0.281035822,0.022537998,0.258497823,1.1304,NA,NA,24.834
1100,m,118,144,171,1.1875,104.69,70.47,4.47,0.673130194,0.042697488,0.715827682,ob,201,181,164,1.110497238,,BigHollow,rural,m,5/9/16,9:56,51,3.9,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,1,41,340.1917404,4.785560808,24.25608656,regrowing tail; 8 mites; natural loss 100 toes; bite mark,NA,0.846757548,0.799342105,0.047415442,1.3816,NA,NA,18.828
